model_id,logloss,auc,aucpr,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
StackedEnsemble_AllModels_4_AutoML_1_20211217_233110,0.2678555999952655,0.8574645561869488,0.3720068751966869,0.2234211773318681,0.2962230470536536,0.087748093605751,2622,0.032762,StackedEnsemble
StackedEnsemble_AllModels_3_AutoML_1_20211217_233110,0.267923286908963,0.8574223334509582,0.3719895442947149,0.237029147684133,0.2962296867084827,0.0877520272874058,2570,0.02495,StackedEnsemble
StackedEnsemble_AllModels_2_AutoML_1_20211217_233110,0.2679389634095981,0.8573530315610103,0.3721749701322822,0.2217753345243721,0.2962266068285423,0.0877502025931517,2162,0.014456,StackedEnsemble
StackedEnsemble_AllModels_6_AutoML_1_20211217_233110,0.2680069010013781,0.857386901313355,0.3713159749169457,0.2189129330153207,0.296296526952052,0.087791631883848,28027,0.03566,StackedEnsemble
StackedEnsemble_BestOfFamily_2_AutoML_1_20211217_233110,0.2682159729966505,0.8567283348433726,0.3679248153407625,0.2321221101436635,0.2964173468504293,0.0878632435138477,1945,0.005878,StackedEnsemble
StackedEnsemble_BestOfFamily_4_AutoML_1_20211217_233110,0.2682736176575357,0.8566735675721187,0.3672199378861405,0.2292642879074925,0.2964616234116782,0.0878894941558877,20307,0.005849,StackedEnsemble
StackedEnsemble_BestOfFamily_1_AutoML_1_20211217_233110,0.2682983611599622,0.8567239176686473,0.3687938329344672,0.2313617044125071,0.2964133894411209,0.0878608974399736,1975,0.005201,StackedEnsemble
StackedEnsemble_AllModels_1_AutoML_1_20211217_233110,0.2683467747115317,0.8568328958201904,0.3711820770842891,0.233060550030934,0.2963316051249273,0.0878124201959158,2508,0.01277,StackedEnsemble
GBM_2_AutoML_1_20211217_233110,0.2687902062547594,0.8563323246695317,0.3690631536646084,0.2258697323937329,0.296585551687794,0.0879629894699531,8169,0.003527,GBM
GBM_5_AutoML_1_20211217_233110,0.2688058986643872,0.8562717941517107,0.3702661303361676,0.2291764372789972,0.2966587312221812,0.0880064028103543,7301,0.004023,GBM
StackedEnsemble_AllModels_5_AutoML_1_20211217_233110,0.2689825407988993,0.8562792238330271,0.3657480904551545,0.2323295760674989,0.2965644592932452,0.0879504785158949,18616,0.042033,StackedEnsemble
GBM_grid_1_AutoML_1_20211217_233110_model_1,0.2690254406367278,0.8555995632453597,0.3671411568203024,0.2276227341295588,0.2967825856473047,0.0880799031434998,6559,0.004119,GBM
GBM_3_AutoML_1_20211217_233110,0.2690712034781862,0.8558846593994881,0.3679622232534638,0.2284996533859531,0.296711124836,0.0880374916014444,8766,0.00428,GBM
StackedEnsemble_BestOfFamily_3_AutoML_1_20211217_233110,0.2691306745063038,0.8550829531394123,0.3633273215189738,0.2235185369886216,0.2967542028364505,0.0880630569010972,9025,0.007882,StackedEnsemble
GBM_1_AutoML_1_20211217_233110,0.2702409824812401,0.8546182078715373,0.3663382287075559,0.2265137187918227,0.2971538411462561,0.0883004053079744,13497,0.004673,GBM
GBM_4_AutoML_1_20211217_233110,0.2702844292311517,0.8553438753109098,0.3665112123505486,0.2406112803352569,0.297034907088265,0.0882297360289342,8921,0.004205,GBM
GBM_grid_1_AutoML_1_20211217_233110_model_2,0.2710576921950722,0.8542855123608561,0.3669803263206848,0.2323518317060854,0.2973021832524281,0.0883885881666603,9431,0.003842,GBM
DeepLearning_grid_3_AutoML_1_20211217_233110_model_1,0.2745658438659807,0.8466355029604774,0.3335417963636816,0.2281996557017662,0.2996189115562467,0.08977149216215,49459,0.00313,DeepLearning
DeepLearning_1_AutoML_1_20211217_233110,0.2760320405011097,0.8457817725023191,0.3365820684222068,0.2326735987343937,0.2995391038012532,0.0897236747060579,10119,0.00254,DeepLearning
DeepLearning_grid_2_AutoML_1_20211217_233110_model_1,0.2777118611683566,0.8458193321782072,0.3354770362259274,0.2361648731790912,0.2999465552747586,0.0899679360211938,44545,0.003176,DeepLearning
GBM_grid_1_AutoML_1_20211217_233110_model_3,0.2796209262237022,0.8485105394161334,0.3490972050113189,0.2295732064664967,0.3010322499645861,0.090620415518741,9662,0.004629,GBM
DeepLearning_grid_1_AutoML_1_20211217_233110_model_2,0.2842781954614123,0.8451074239150033,0.3324083778784668,0.2246094838583577,0.3011764632269242,0.0907072620018788,152277,0.005421,DeepLearning
DeepLearning_grid_1_AutoML_1_20211217_233110_model_1,0.3057448484058893,0.84206954622444,0.328046318753098,0.2278310631165441,0.3015970528174252,0.0909607822681568,75671,0.002641,DeepLearning
